dateKey,fullDate,year,month,day,quarter,monthName,dayName,yearMonth
1,2009-03-21,2009,3,21,1,March,Saturday,2009-03
2,2009-05-01,2009,5,1,2,May,Friday,2009-05
3,2009-08-06,2009,8,6,3,August,Thursday,2009-08
4,2009-08-23,2009,8,23,3,August,Sunday,2009-08
5,2009-09-14,2009,9,14,3,September,Monday,2009-09
6,2009-09-19,2009,9,19,3,September,Saturday,2009-09
7,2009-11-29,2009,11,29,4,November,Sunday,2009-11
8,2009-12-29,2009,12,29,4,December,Tuesday,2009-12
9,2010-01-19,2010,1,19,1,January,Tuesday,2010-01
10,2010-02-13,2010,2,13,1,February,Saturday,2010-02
11,2010-02-15,2010,2,15,1,February,Monday,2010-02
12,2010-02-19,2010,2,19,1,February,Friday,2010-02
13,2010-03-07,2010,3,7,1,March,Sunday,2010-03
14,2010-05-05,2010,5,5,2,May,Wednesday,2010-05
15,2010-05-12,2010,5,12,2,May,Wednesday,2010-05
16,2010-05-14,2010,5,14,2,May,Friday,2010-05
17,2010-05-19,2010,5,19,2,May,Wednesday,2010-05
18,2010-05-24,2010,5,24,2,May,Monday,2010-05
19,2010-05-26,2010,5,26,2,May,Wednesday,2010-05
20,2010-05-29,2010,5,29,2,May,Saturday,2010-05
21,2010-06-01,2010,6,1,2,June,Tuesday,2010-06
22,2010-06-20,2010,6,20,2,June,Sunday,2010-06
23,2010-06-23,2010,6,23,2,June,Wednesday,2010-06
24,2010-07-04,2010,7,4,3,July,Sunday,2010-07
25,2010-07-05,2010,7,5,3,July,Monday,2010-07
26,2010-07-09,2010,7,9,3,July,Friday,2010-07
27,2010-07-16,2010,7,16,3,July,Friday,2010-07
28,2010-07-22,2010,7,22,3,July,Thursday,2010-07
29,2010-07-28,2010,7,28,3,July,Wednesday,2010-07
30,2010-07-29,2010,7,29,3,July,Thursday,2010-07
31,2010-08-08,2010,8,8,3,August,Sunday,2010-08
32,2010-08-11,2010,8,11,3,August,Wednesday,2010-08
33,2010-08-14,2010,8,14,3,August,Saturday,2010-08
34,2010-08-16,2010,8,16,3,August,Monday,2010-08
35,2010-08-23,2010,8,23,3,August,Monday,2010-08
36,2010-08-27,2010,8,27,3,August,Friday,2010-08
37,2010-08-30,2010,8,30,3,August,Monday,2010-08
38,2010-09-07,2010,9,7,3,September,Tuesday,2010-09
39,2010-09-08,2010,9,8,3,September,Wednesday,2010-09
40,2010-09-12,2010,9,12,3,September,Sunday,2010-09
41,2010-09-15,2010,9,15,3,September,Wednesday,2010-09
42,2010-09-16,2010,9,16,3,September,Thursday,2010-09
43,2010-09-17,2010,9,17,3,September,Friday,2010-09
44,2010-09-26,2010,9,26,3,September,Sunday,2010-09
45,2010-09-27,2010,9,27,3,September,Monday,2010-09
46,2010-09-30,2010,9,30,3,September,Thursday,2010-09
47,2010-10-02,2010,10,2,4,October,Saturday,2010-10
48,2010-10-03,2010,10,3,4,October,Sunday,2010-10
49,2010-10-04,2010,10,4,4,October,Monday,2010-10
50,2010-10-05,2010,10,5,4,October,Tuesday,2010-10
51,2010-10-07,2010,10,7,4,October,Thursday,2010-10
52,2010-10-09,2010,10,9,4,October,Saturday,2010-10
53,2010-10-10,2010,10,10,4,October,Sunday,2010-10
54,2010-10-12,2010,10,12,4,October,Tuesday,2010-10
55,2010-10-14,2010,10,14,4,October,Thursday,2010-10
56,2010-10-17,2010,10,17,4,October,Sunday,2010-10
57,2010-10-19,2010,10,19,4,October,Tuesday,2010-10
58,2010-10-20,2010,10,20,4,October,Wednesday,2010-10
59,2010-10-22,2010,10,22,4,October,Friday,2010-10
60,2010-10-25,2010,10,25,4,October,Monday,2010-10
61,2010-10-26,2010,10,26,4,October,Tuesday,2010-10
62,2010-10-30,2010,10,30,4,October,Saturday,2010-10
63,2010-11-05,2010,11,5,4,November,Friday,2010-11
64,2010-11-08,2010,11,8,4,November,Monday,2010-11
65,2010-11-10,2010,11,10,4,November,Wednesday,2010-11
66,2010-11-11,2010,11,11,4,November,Thursday,2010-11
67,2010-11-13,2010,11,13,4,November,Saturday,2010-11
68,2010-11-15,2010,11,15,4,November,Monday,2010-11
69,2010-11-16,2010,11,16,4,November,Tuesday,2010-11
70,2010-11-22,2010,11,22,4,November,Monday,2010-11
71,2010-12-02,2010,12,2,4,December,Thursday,2010-12
72,2010-12-06,2010,12,6,4,December,Monday,2010-12
73,2011-01-01,2011,1,1,1,January,Saturday,2011-01
74,2011-01-05,2011,1,5,1,January,Wednesday,2011-01
75,2011-01-08,2011,1,8,1,January,Saturday,2011-01
76,2011-01-09,2011,1,9,1,January,Sunday,2011-01
77,2011-01-10,2011,1,10,1,January,Monday,2011-01
78,2011-01-12,2011,1,12,1,January,Wednesday,2011-01
79,2011-01-13,2011,1,13,1,January,Thursday,2011-01
80,2011-01-17,2011,1,17,1,January,Monday,2011-01
81,2011-01-19,2011,1,19,1,January,Wednesday,2011-01
82,2011-01-20,2011,1,20,1,January,Thursday,2011-01
83,2011-01-23,2011,1,23,1,January,Sunday,2011-01
84,2011-01-24,2011,1,24,1,January,Monday,2011-01
85,2011-02-08,2011,2,8,1,February,Tuesday,2011-02
86,2011-02-09,2011,2,9,1,February,Wednesday,2011-02
87,2011-02-16,2011,2,16,1,February,Wednesday,2011-02
88,2011-02-22,2011,2,22,1,February,Tuesday,2011-02
