locationKey,neighbourhoodGroup,neighbourhoodName
1,City of Los Angeles,Adams-Normandie
2,City of Los Angeles,Arleta
3,City of Los Angeles,Arlington Heights
4,City of Los Angeles,Atwater Village
5,City of Los Angeles,Baldwin Hills/Crenshaw
6,City of Los Angeles,Bel-Air
7,City of Los Angeles,Beverly Crest
8,City of Los Angeles,Beverly Grove
9,City of Los Angeles,Beverlywood
10,City of Los Angeles,Boyle Heights
11,City of Los Angeles,Brentwood
12,City of Los Angeles,Broadway-Manchester
13,City of Los Angeles,Canoga Park
14,City of Los Angeles,Carthay
15,City of Los Angeles,Central-Alameda
16,City of Los Angeles,Century City
17,City of Los Angeles,Chatsworth
18,City of Los Angeles,Chatsworth Reservoir
19,City of Los Angeles,Chesterfield Square
20,City of Los Angeles,Cheviot Hills
21,City of Los Angeles,Chinatown
22,City of Los Angeles,Cypress Park
23,City of Los Angeles,Del Rey
24,City of Los Angeles,Downtown
25,City of Los Angeles,Eagle Rock
26,City of Los Angeles,East Hollywood
27,City of Los Angeles,Echo Park
28,City of Los Angeles,El Sereno
29,City of Los Angeles,Elysian Park
30,City of Los Angeles,Elysian Valley
31,City of Los Angeles,Encino
32,City of Los Angeles,Exposition Park
33,City of Los Angeles,Fairfax
34,City of Los Angeles,Florence
35,City of Los Angeles,Glassell Park
36,City of Los Angeles,Gramercy Park
37,City of Los Angeles,Granada Hills
38,City of Los Angeles,Green Meadows
39,City of Los Angeles,Griffith Park
40,City of Los Angeles,Hancock Park
41,City of Los Angeles,Hansen Dam
42,City of Los Angeles,Harbor City
43,City of Los Angeles,Harbor Gateway
44,City of Los Angeles,Harvard Heights
45,City of Los Angeles,Harvard Park
46,City of Los Angeles,Highland Park
47,City of Los Angeles,Historic South-Central
48,City of Los Angeles,Hollywood
49,City of Los Angeles,Hollywood Hills
50,City of Los Angeles,Hollywood Hills West
51,City of Los Angeles,Hyde Park
52,City of Los Angeles,Jefferson Park
53,City of Los Angeles,Koreatown
54,City of Los Angeles,Lake Balboa
55,City of Los Angeles,Lake View Terrace
56,City of Los Angeles,Larchmont
57,City of Los Angeles,Leimert Park
58,City of Los Angeles,Lincoln Heights
59,City of Los Angeles,Los Feliz
60,City of Los Angeles,Manchester Square
61,City of Los Angeles,Mar Vista
62,City of Los Angeles,Mid-City
